ID	MAEA	MKLN1	RMND5A	WDR26	row_sums
P07099	1	1	1	1	4
P11498	1	1	1	1	4
P15144	1	1	1	1	4
P31327	1	1	1	1	4
Q10471	1	1	1	1	4
Q13576	1	1	1	1	4
O00469	1	1	1	0	3
O14745	1	0	1	1	3
O75962	0	1	1	1	3
P00390	1	0	1	1	3
P06396	1	0	1	1	3
P10301	0	1	1	1	3
P10909	1	0	1	1	3
P11413	1	0	1	1	3
P15291	1	0	1	1	3
P35241	1	0	1	1	3
P35573	1	0	1	1	3
P35580	1	0	1	1	3
P42330	1	0	1	1	3
P47712	1	0	1	1	3
P51911	1	0	1	1	3
P52895	1	0	1	1	3
P54687	1	1	1	0	3
P56199	1	0	1	1	3
P98082	1	1	0	1	3
Q05639	1	0	1	1	3
Q16270	1	1	0	1	3
Q8IVF2	1	0	1	1	3
Q96CX2	1	0	1	1	3
Q96DH6	1	0	1	1	3
Q9H4G0	1	0	1	1	3
Q9UHB6	0	1	1	1	3
Q9UKX5	1	0	1	1	3
